SERVNO,Request Date,Resolved Date,AddrType,Address,CrossStreet,GraffitiType,GraffitiMoniker,GraffitiMoniker2,GraffitiMoniker3,Latitude,Longitude
23531,05/06/2008 12:00:00 AM,05/15/2008 12:00:00 AM,I,    CATHERINE ST ROCKFORD IL 61104,  MAGNOLIA ST ROCKFORD IL 61104,Gang, ,,,42.254,-89.0966
23533,05/06/2008 12:00:00 AM,02/13/2009 12:00:00 AM,I,  S 5TH ST ROCKFORD IL 61104,  21ST AVE ROCKFORD IL 61104,Gang,AMLQN-YOSH,,,42.244,-89.0839
23623,05/07/2008 12:00:00 AM,05/12/2008 12:00:00 AM,I,    MICHIGAN AVE ROCKFORD IL 61102,  MONTAGUE RD ROCKFORD IL 61102,, ,,,42.252,-89.1295
23703,05/08/2008 12:00:00 AM,05/08/2008 12:00:00 AM,I,    CUNNINGHAM RD ROCKFORD IL 61102,S HORACE AVE ROCKFORD IL 61102,Gang, ,,,42.2656,-89.1295
23757,05/09/2008 12:00:00 AM,05/13/2008 12:00:00 AM,I,    BUCKBEE ST ROCKFORD IL 61104,  FRANCIS ST ROCKFORD IL 61104,, ,,,42.2529,-89.0951
23766,05/09/2008 12:00:00 AM,05/19/2008 12:00:00 AM,I,    4TH AVE ROCKFORD IL 61104,S 4TH ST ROCKFORD IL 61104,Gang, ,,,42.2626,-89.0852
23774,05/09/2008 12:00:00 AM,05/19/2008 12:00:00 AM,I,  S 4TH ST ROCKFORD IL 61104,  5TH AVE ROCKFORD IL 61104,Gang, ,,,42.2616,-89.0852
23779,05/09/2008 12:00:00 AM,05/19/2008 12:00:00 AM,I,    BROADMOOR DR ROCKFORD IL 61108,  CALVIN PARK BLVD ROCKFORD IL 61108,Kids, ,,,42.2622,-89.0514
23780,05/09/2008 12:00:00 AM,05/19/2008 12:00:00 AM,I,    BROADMOOR DR ROCKFORD IL 61108,  CALVIN PARK BLVD ROCKFORD IL 61108,, ,,,42.2622,-89.0514
23904,05/12/2008 12:00:00 AM,05/19/2008 12:00:00 AM,I,    ASHLAND AVE ROCKFORD IL 61103,N WINNEBAGO ST ROCKFORD IL 61103,Gang, ,,,42.2852,-89.0941
23907,05/12/2008 12:00:00 AM,02/16/2009 12:00:00 AM,I,    SCHOOL ST ROCKFORD IL 61101,  SOPER AVE ROCKFORD IL 61101,Gang,GD'S,,,42.281,-89.1245
23991,05/13/2008 12:00:00 AM,05/19/2008 12:00:00 AM,I,    GRINNELL DR ROCKFORD IL 61109,  YALE DR ROCKFORD IL 61109,Unknown, ,,,42.2335,-89.0311
24004,05/13/2008 12:00:00 AM,05/19/2008 12:00:00 AM,I,  S CHURCH ST ROCKFORD IL 61101,  ELM ST ROCKFORD IL 61101,Other, ,,,42.271,-89.0964
24010,05/13/2008 12:00:00 AM,05/13/2008 12:00:00 AM,I,  N COURT ST ROCKFORD IL 61101,W STATE ST ROCKFORD IL 61101,, ,,,42.2723,-89.0971
24013,05/13/2008 12:00:00 AM,05/19/2008 12:00:00 AM,I,  N COURT ST ROCKFORD IL 61103,N COURT ST ROCKFORD IL 61103,Unknown, ,,,42.2733,-89.0964
24014,05/13/2008 12:00:00 AM,05/19/2008 12:00:00 AM,I,  W JEFFERSON ST ROCKFORD IL 61101,N MAIN ST ROCKFORD IL 61101,Other, ,,,42.2732,-89.0931
24015,05/13/2008 12:00:00 AM,05/19/2008 12:00:00 AM,I,    MORGAN ST ROCKFORD IL 61102,S WINNEBAGO ST ROCKFORD IL 61102,Other, ,,,42.2623,-89.1048
24017,05/13/2008 12:00:00 AM,05/13/2008 12:00:00 AM,I,    HUFFMAN BLVD ROCKFORD IL 61103,W RIVERSIDE BLVD ROCKFORD IL 61103,, ,,,42.3158,-89.0871
24019,05/13/2008 12:00:00 AM,05/19/2008 12:00:00 AM,I,  N MAIN ST ROCKFORD IL 61103,W RIVERSIDE BLVD ROCKFORD IL 61103,Other, ,,,42.3158,-89.0772
24021,05/13/2008 12:00:00 AM,02/10/2009 12:00:00 AM,I,  N PIERPONT AVE ROCKFORD IL 61101,  SCHOOL ST ROCKFORD IL 61101,Hip Hop,SOLER,,,42.2809,-89.1355
24135,05/14/2008 12:00:00 AM,05/14/2008 12:00:00 AM,I,  N BELL SCHOOL RD ROCKFORD IL 61114,E RIVERSIDE BLVD ROCKFORD IL 61114,, ,,,42.319,-88.97
